key	text	tooltip
message_event_text_text_mk_event_byz_roman_empire_restored_secondary	There are now none who doubt the Byzantine Empire's claim to the legacy of Rome. As the foremost world power and the holder of territory not seen in Roman hands since the reign of Justinian, the Byzantine Empire is now in an uncontested position to proclaim itself the true Roman Empire.	true
message_event_text_text_mk_event_college_of_cardinals_cardinal_added_secondary	This character has been recognized by the Pope as a man of outstanding faith and has thus been appointed to the College of Cardinals.	true
message_event_text_text_mk_event_college_of_cardinals_cardinal_added_title	Cardinal Appointed	true
message_event_text_text_mk_event_crusade_5_title	The Fifth Crusade	true
message_event_text_text_mk_event_crusade_6_title	The Sixth Crusade	true
message_event_text_text_mk_event_crusade_7_title	The Seventh Crusade	true
message_event_text_text_mk_event_crusade_8_title	The Eighth Crusade	true
message_event_text_text_mk_event_crusade_9_title	The Ninth Crusade	true
message_event_text_text_mk_event_crusade_aborted_primary	Crusade Aborted!	true
message_event_text_text_mk_event_crusade_aborted_secondary	There is no longer a valid target for the Crusade, and as such, the Pope has called it off.	true
message_event_text_text_mk_event_crusade_abstain_primary	Abstained From The Crusade!	true
message_event_text_text_mk_event_crusade_abstain_secondary	You have decided to sit out on this crusade, meaning that while your realm may not be drained in an exhausting and possibly futile war, you will also not recieve any benefits should the crusade succeed.	true
message_event_text_text_mk_event_crusade_go_aegyptus_alexandria_primary	Crusade for Alexandria!	true
message_event_text_text_mk_event_crusade_go_aegyptus_alexandria_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Alexandria. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_aegyptus_oxyrhynchus_primary	Crusade for Cairo!	true
message_event_text_text_mk_event_crusade_go_aegyptus_oxyrhynchus_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Cairo. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_africa_carthago_primary	Crusade for Tunis!	true
message_event_text_text_mk_event_crusade_go_africa_carthago_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Tunis. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_aquitania_elusa_primary	Crusade for Toulouse!	true
message_event_text_text_mk_event_crusade_go_aquitania_elusa_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Toulouse. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_baetica_corduba_primary	Crusade for Cordoba!	true
message_event_text_text_mk_event_crusade_go_baetica_corduba_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Cordoba. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_britannia_superior_londinium_primary	Crusade for London!	true
message_event_text_text_mk_event_crusade_go_britannia_superior_londinium_secondary	The Pope has formally declared the beginning of a holy war against the infidels in London. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_carthaginensis_toletum_primary	Crusade for Toledo!	true
message_event_text_text_mk_event_crusade_go_carthaginensis_toletum_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Toledo. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_crusade_5_primary	Crusade For Cairo!	true
message_event_text_text_mk_event_crusade_go_crusade_5_secondary	The Pope has formally declared the beginning of a holy war against the Muslims in Egypt, seeking to re-establish Christian rule in lands long lost to the saracens. If Cairo can be taken, the rest of Egypt will soon fall, and then can be used as a staging ground for an attack to retake Jerusalem!	true
message_event_text_text_mk_event_crusade_go_germania_uburzis_primary	Crusade for Frankfurt!	true
message_event_text_text_mk_event_crusade_go_germania_uburzis_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Frankfurt. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_italia_roma_primary	Crusade for Rome!	true
message_event_text_text_mk_event_crusade_go_italia_roma_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Rome. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_lugdunensis_turonum_primary	Crusade for Paris!	true
message_event_text_text_mk_event_crusade_go_lugdunensis_turonum_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Paris. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_macedonia_thessalonica_primary	Crusade for Thessalonica!	true
message_event_text_text_mk_event_crusade_go_macedonia_thessalonica_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Thessalonica. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_palaestinea_aelia_capitolina_primary	Crusade for Jerusalem!	true
message_event_text_text_mk_event_crusade_go_palaestinea_aelia_capitolina_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Jerusalem. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_syria_antiochia_primary	Crusade for Antioch!	true
message_event_text_text_mk_event_crusade_go_syria_antiochia_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Antioch. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_tarraconensis_tarraco_primary	Crusade for Barcelona!	true
message_event_text_text_mk_event_crusade_go_tarraconensis_tarraco_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Barcelona. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_go_thracia_constantinopolis_primary	Crusade for Constantinople!	true
message_event_text_text_mk_event_crusade_go_thracia_constantinopolis_secondary	The Pope has formally declared the beginning of a holy war against the infidels in Constantinople. The armies of Christendom will soon descend upon the lands of its owner, bringing devestation in their wake.	true
message_event_text_text_mk_event_crusade_joined_primary	Joined the Crusade!	true
message_event_text_text_mk_event_crusade_joined_secondary	Your faction has joined the crusade and will now be at war with the faction holding the crusade's target until it is taken from their hands or the invasion is repelled.	true
message_event_text_text_mk_event_crusade_lost_primary	Defeat for the Crusaders!	true
message_event_text_text_mk_event_crusade_lost_secondary	The crusade has come to a halt due to defeats and stagnation across the board. The crusade's target remains in infidel hands and all hope of ever re-conquering it for Christendom may forever be lost.	true
message_event_text_text_mk_event_crusade_preliminary_5_primary	Fourth Council of the Lateran	true
message_event_text_text_mk_event_crusade_preliminary_5_secondary	Pope Innocent III proclaimed a new crusade to free the Holy Land from the Saracens at the Fourth Council of the Lateran, held this year. Various Catholic rulers will soon be asked to join the crusade, though its intended target is not precisely known.	true
message_event_text_text_mk_event_crusade_won_jerusalem_secondary	Against all odds the crusaders have triumphed, taking their intended target from the infidels. With both it and Jerusalem in Christian hands, grave blows have been dealt to the infidels and there is no telling when they will end.	true
message_event_text_text_mk_event_crusade_won_jerusalem_taken_secondary	Against all odds the crusaders have triumphed, taking their intended target from the infidels. Although not even the primary target of the crusade, the city of Jerusalem itself has been taken by the crusading armies. Long will this crusade be remembered in the minds of Christianity.	true
message_event_text_text_mk_event_crusade_won_jerusalem_target_secondary	The holiest prize of all has been successfully taken by the crusaders: Jerusalem itself. Church bells ring throughout Catholic lands in celebration of this monumental victory.	true
message_event_text_text_mk_event_crusade_won_primary	Victory for the Crusaders!	true
message_event_text_text_mk_event_crusade_won_secondary	Against all odds the crusaders have triumphed, taking their intended target from the infidels. After their new holdings are consolidated, the crusaders may be poised to push into the Holy Land, perhaps finally taking it back once and for all.	true
message_event_text_text_mk_event_cumans_rejected_primary	The Borders Are Closed	true
message_event_text_text_mk_event_cumans_rejected_secondary	You have decided that the borders shall remain closed, trapping the Cuman refugees between you and the Mongol hordes. As a result, they may attempt to break into your lands by force, and any boons gained by letting them in are now lost. However, the Mongols are content with your decision, and are less likely to invade now.	true
message_event_text_text_mk_event_cumans_settled_primary	The Cumans Settle	true
message_event_text_text_mk_event_cumans_settled_secondary	You have decided that you will open your kingdom's borders to the Cuman refugees, allowing them to settle in your lands in exchange for their military service. They may prove to be useful auxiliary units due to their mastery in horsemanship.	true
message_event_text_text_mk_event_cumans_situation_title	The Plight of the Cumans	true
message_event_text_text_mk_event_eng_civil_war_primary	The First Barons' War	true
message_event_text_text_mk_event_eng_civil_war_secondary	Your discontened vassals have now turned to outright rebellion in order to force their demands upon the crown. Having seized London, they now threaten to take the rest of England by force! To make matters worse, some of the rebellious barons have declared Louis of France to have a claim on the English throne, thereby inviting France to aid them in their rebellion.	true
message_event_text_text_mk_event_eng_civil_war_title	Civil War!	true
message_event_text_text_mk_event_eng_magna_carta_peace_secondary	Showing himself a coward, the King of England now must face his ambitious nobles. They have prepared a document which will limit the power of the English crown. To sign it would be the utmost humiliation. To refuse to sign it would surely signal civil war.	true
message_event_text_text_mk_event_eng_magna_carta_primary	The Magna Carta	true
message_event_text_text_mk_event_eng_magna_carta_title	The Fate of the Angevin	true
message_event_text_text_mk_event_eng_magna_carta_war_secondary	Showing himself an incapable commander, the King of England now must face his ambitious nobles. They have prepared a document which will limit the power of the English crown. To sign it would be the utmost humiliation. To refuse to sign it would surely signal civil war.	true
message_event_text_text_mk_event_faction_rank_secondary_2	Your faction's rank has increased to Kingdom rank, denoting the status of your faction as a regional power.	true
message_event_text_text_mk_event_faction_rank_secondary_3	Your faction's rank has increased to Empire rank, denoting the status of your faction as a great power.	true
message_event_text_text_mk_event_faction_rank_title_2	Founding of a Kingdom	true
message_event_text_text_mk_event_faction_rank_title_3	Founding of an Empire	true
message_event_text_text_mk_event_fra_aragon_intervenes_bad_primary	Aragonese Intervention!	true
message_event_text_text_mk_event_fra_aragon_intervenes_bad_secondary	The Crown of Aragon has cast in their lot with the County of Toulouse, its king declaring his intention to counter the influence of France in Languedoc. If the Cathar heresy is to be put down, then so too must the King of Aragon.	true
message_event_text_text_mk_event_fra_aragon_intervenes_primary	Aragon Joins the Albigensian Crusade!	true
message_event_text_text_mk_event_fra_aragon_intervenes_secondary	The Crown of Aragon has joined with us in our crusade against the Cathars. Such a powerful ally is surely the final nail in the coffin for the County of Toulouse.	true
message_event_text_text_mk_event_fra_aragon_support_bad_primary	The Treachery of Aragon	true
message_event_text_text_mk_event_fra_aragon_support_bad_secondary	The Crown of Aragon, too cowardly to directly involve themselves in the Albigensian Crusade on either side, has instead decided to support the County of Toulouse monetarily, raising a vast army under the County of Toulouse's command.	true
message_event_text_text_mk_event_fra_cathar_revolt_primary	Cathar Uprising!	true
message_event_text_text_mk_event_fra_cathar_revolt_secondary	Word has arrived that a major revolt has broken out in the recently conquered County of Toulouse, with Occitan forces springing from nearly every town in the region. They seek to reverse the current situation of the Albigensian Crusade in their favor, and so must put down immediately lest they be successful.	true
message_event_text_text_mk_event_fra_cathars_crushed_primary	Cathars Crushed!	true
message_event_text_text_mk_event_fra_cathars_crushed_secondary	The Albigensian Crusade has ended, and the heretics inhabiting Toulouse have been decisively crushed. The county has been incorporated into the Kingdom of France proper. However, the region is expected to be turbulent for many years to come, as remaining heretics are rooted out by the inqusition and destroyed.	true
message_event_text_text_mk_event_fra_english_invasion_primary	Invasion of Normandy!	true
message_event_text_text_mk_event_fra_english_invasion_secondary	The lowly King John of England begun preparations for an invasion of Normandy! The English are joined by the County of Flanders and the Holy Roman Empire. The time has come to mount a defense and throw those English dogs back into the sea!	true
message_event_text_text_mk_event_fra_english_invasion_title	English Invasion	true
message_event_text_text_mk_event_fra_english_invasion_victory_primary	Victory!	true
message_event_text_text_mk_event_fra_english_invasion_victory_secondary	The English nobles, fed up with their King's incompetence, have risen up in revolt against his rule! Our lands are now safe, and we have recieved substantial financial compenstation from the English king for peace.	true
message_event_text_text_mk_event_golden_bull_1222_refused_primary	Golden Bull Refused!	true
message_event_text_text_mk_event_golden_bull_1222_refused_secondary	You have refused to accept the Golden Bull. This will severely anger the nobility of the realm. A civil war may soon follow.	true
message_event_text_text_mk_event_golden_bull_1222_signed_primary	Golden Bull Accepted!	true
message_event_text_text_mk_event_golden_bull_1222_signed_secondary	You have begrudgingly accepted the Golden Bull at considerable cost to your authority and the well-being of your realm, thereby sating your nobles' thirst for power for now...	true
message_event_text_text_mk_event_golden_bull_1222_title	Golden Bull of 1222	true
message_event_text_text_mk_event_golden_horde_formed_primary	The Golden Horde	true
message_event_text_text_mk_event_golden_horde_formed_secondary	The tribes of the great seas of grass have now been subjugated and placed under our rule. Many of our enemies call us the Golden Horde, a name for our domain we shall henceforth adopt.	true
message_event_text_text_mk_event_golden_horde_formed_title	Founding of the Golden Horde	true
message_event_text_text_mk_event_great_famine_primary	The Great Famine	true
message_event_text_text_mk_event_great_famine_secondary	For longer than ever before recorded, incessant rains have plagued much of Europe. Major shortages in grain and salt have drastically increased food prices, and many of the peasantry have begun to go hungry. One can only hope that this calamity soon ends.	true
message_event_text_text_mk_event_great_famine_title	Climate Change	true
message_event_text_text_mk_event_greek_fire_lost_primary	Greek Fire Lost!	true
message_event_text_text_mk_event_greek_fire_lost_secondary	By refusing to pay for the replenishment of greek fire stocks, all supplies have now been exhausted, leaving your armies without the weapon. No longer will you be able to recruit greek fire units, and all standing greek fire units now lack the ammunition required to use their projectors.	true
message_event_text_text_mk_event_greek_fire_saved_primary	Greek Fire Saved!	true
message_event_text_text_mk_event_greek_fire_saved_secondary	Your actions have guaranteed that greek fire will continue to be manufactured, but due to its expensive costs and the turbulent circumstances involving gathering its composition materials, there may come another day that its supply will be in jeopardy.	true
message_event_text_text_mk_event_greek_fire_title	Greek Fire	true
message_event_text_text_mk_event_hre_decree_primary_hre_decree_encourage_development	Encourage Development	true
message_event_text_text_mk_event_hre_decree_primary_hre_decree_expand_bureaucracy	Expand The Bureaucracy	true
message_event_text_text_mk_event_hre_decree_primary_hre_decree_imperial_levies	Muster Imperial Levies	true
message_event_text_text_mk_event_hre_decree_primary_hre_decree_lessen_tax_burdens	Lessen Tax Burdens	true
message_event_text_text_mk_event_hre_decree_primary_hre_decree_patronize_universities	Patronize Universities	true
message_event_text_text_mk_event_hre_decree_primary_hre_decree_promote_commerce	Promote Commerce	true
message_event_text_text_mk_event_hre_decree_secondary	The emperor has passed an imperial decree, which is now active for 15 turns or until the succession of a new emperor.	true
message_event_text_text_mk_event_hre_decree_title	Imperial Decree	true
message_event_text_text_mk_event_hre_destroyed_primary	The Fall of the Holy Roman Empire	true
message_event_text_text_mk_event_hre_destroyed_secondary	The Holy Roman Empire, long a dominant power in Europe and a bastion of the Catholic faith, has finally been extinguished with all of its member states destroyed or subjugated.	true
message_event_text_text_mk_event_hre_destroyed_title	Holy Roman Empire Destroyed	true
message_event_text_text_mk_event_hre_english_invasion_primary	War in the West	true
message_event_text_text_mk_event_hre_english_invasion_secondary	Our ally, the Kingdom of England, has launched an invasion of Normandy to retake lands lost to the French crown a decade earlier. As part of an alliance assembled by the Pope, we are obligated to assist the English in this endeavour, though the pretender to our throne to the south may complicate this.	true
message_event_text_text_mk_event_hre_english_invasion_title	England Invades Normandy	true
message_event_text_text_mk_event_hre_excommunication_primary	The Excommunication of Otto IV	true
message_event_text_text_mk_event_hre_excommunication_secondary	Having personally offended the Pope and occupying Papal lands, Holy Roman Emperor Otto IV was excommunicated in 1210.	true
message_event_text_text_mk_event_hre_excommunication_title	Excommunication!	true
message_event_text_text_mk_event_hre_fealty_decrease_secondary_decay	The loyalty of this faction to the emperor has decreased over the passage of time, perhaps due to being ignored or because of other factors.	true
message_event_text_text_mk_event_hre_fealty_decrease_secondary_withdrew_support	The loyalty of this faction to the emperor has decreased due to the withdrawal of your support for their candidate.	true
message_event_text_text_mk_event_hre_fealty_decrease_title	Fealty Decreased	true
message_event_text_text_mk_event_hre_fealty_increase_secondary_boosted	The loyalty of this faction to the emperor has been increased thanks to boons granted by the emperor.	true
message_event_text_text_mk_event_hre_fealty_increase_secondary_supported_candidate	The loyalty of this faction to the emperor has been increased as a result of backing their chosen candidate for the election.	true
message_event_text_text_mk_event_hre_fealty_increase_title	Fealty Increased	true
message_event_text_text_mk_event_hre_imperial_succession_secondary	A new Holy Roman Emperor from another faction has taken the throne following the death of the previous sovereign, thus disempowering the former ruler's faction.	true
message_event_text_text_mk_event_hre_imperial_succession_title	Imperial Succession	true
message_event_text_text_mk_event_hre_imperial_title_retained_secondary	A new Holy Roman Emperor has taken the throne following the death of the previous sovereign, though they are of the same faction. The reigning faction's rule is safe, for now...	true
message_event_text_text_mk_event_hre_imperial_title_retained_title	Imperial Succession	true
message_event_text_text_mk_event_hre_pretender_nominated_secondary	The Pope has nominated a pretender to the Imperial Throne, thus challenging the right of the current emperor to rule the Holy Roman Empire.	true
message_event_text_text_mk_event_hre_pretender_nominated_title	A Pretender to the Throne	true
message_event_text_text_mk_event_hre_reform_primary_1	Confirm Permanent Prince-Electors	true
message_event_text_text_mk_event_hre_reform_primary_2	Formalize the Imperial Diet	true
message_event_text_text_mk_event_hre_reform_primary_3	Institute the Common Penny	true
message_event_text_text_mk_event_hre_reform_primary_4	Organize the Imperial Circles	true
message_event_text_text_mk_event_hre_reform_primary_5	Enact Perpetual Public Peace	true
message_event_text_text_mk_event_hre_reform_primary_6	Establish the Imperial Chamber Court	true
message_event_text_text_mk_event_hre_reform_primary_7	Establish the Imperial Government	true
message_event_text_text_mk_event_hre_reform_primary_8	Adopt Hereditary Succession	true
message_event_text_text_mk_event_hre_reform_primary_9	Renovatio Imperii	true
message_event_text_text_mk_event_hre_reform_secondary	The emperor attained enough support to pass an imperial reform, thus increasing the centralization of the realm.	true
message_event_text_text_mk_event_hre_reform_title	Imperial Reform	true
message_event_text_text_mk_event_hre_region_lost_secondary_emperor	A region rightfully belonging to the Holy Roman Empire has been lost, decreasing your authority.	true
message_event_text_text_mk_event_hre_region_lost_secondary_member	A region rightfully belonging to the Holy Roman Empire has been lost, decreasing the emperor's authority.	true
message_event_text_text_mk_event_hre_region_lost_title	Imperial Territory Lost	true
message_event_text_text_mk_event_hre_region_reconquered_secondary_emperor	A region rightfully belonging to the Holy Roman Empire has been reconquered, increasing your authority.	true
message_event_text_text_mk_event_hre_region_reconquered_secondary_member	A region rightfully belonging to the Holy Roman Empire has been reconquered, increasing the emperor's authority.	true
message_event_text_text_mk_event_hre_region_reconquered_title	Imperial Territory Reconquered	true
message_event_text_text_mk_event_hre_sicilian_invasion_primary	A Pretender to the Throne	true
message_event_text_text_mk_event_hre_sicilian_invasion_secondary	A mere boy, though one backed by the Pope, now contests the imperial throne after being elected by discontent members of the Empire.	true
message_event_text_text_mk_event_hre_sicilian_invasion_title	Wrath of the Innocent	true
message_event_text_text_mk_event_hre_unlawful_territory_secondary	Your occupation of this region has been declared unlawful by the Holy Roman Emperor. As a consequence, many of your subjects in the region are now discontent.	true
message_event_text_text_mk_event_hre_unlawful_territory_title	Unlawful Territory	false
message_event_text_text_mk_event_ilkhanate_formed_primary	The Ilkhanate	true
message_event_text_text_mk_event_ilkhanate_formed_secondary	The lands of these old civilizations now belong to us. Having subjugated the mighty kingdoms and empires of Persia, it has become necessary to incorporate their great wisdom and administration. Indeed, this includes their name for our empire: the Ilkhanate, which we shall henceforth adopt.	true
message_event_text_text_mk_event_ilkhanate_formed_title	Founding of the Ilkhanate	true
message_event_text_text_mk_event_Italian_kingdom_formed_primary	The Kingdom of Italy	true
message_event_text_text_mk_event_Italian_kingdom_formed_secondary	It has been many centuries since Italy was last united, but now the Kingdom of Italy rises, having secured dominion over the Apennine Peninsula.	true
message_event_text_text_mk_event_Italian_kingdom_formed_title	Founding of a Kingdom	true
message_event_text_text_mk_event_little_ice_age_primary	The Little Ice Age	true
message_event_text_text_mk_event_little_ice_age_secondary	The constant rainfall has finally stopped, but it is now apparrent to many that the winters have grown somewhat harsher and the crop growing seasons less reliable.	true
message_event_text_text_mk_event_little_ice_age_title	Climate Change	true
message_event_text_text_mk_event_mk1212_intro_primary	Mod Credits	true
